"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
5302018,530,2018,"AR0060100","AR0060100","","N","N",,"I","WARREN","WARREN PD","Warren","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",5608,23355,"ARUCR0001","Arkansas Crime Information Center","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",11,1,12,2,6,8,0,0,01-FEB-99,01-JAN-03,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","BRADLEY","Non-MSA","Y","Y","Y"
5322018,532,2018,"AR0070000","AR0070000","","N","N",,"I","CALHOUN","CALHOUN CO SO HAMPTON","Calhoun","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","County",3950,23355,"ARUCR0001","Arkansas Crime Information Center","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",6,3,9,0,3,3,0,0,01-FEB-99,01-JAN-03,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","CALHOUN","Non-MSA","Y","Y","Y"
5332018,533,2018,"AR0070100","AR0070100","","N","N",,"I","HAMPTON","HAMPTON PD","Hampton","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",1274,23355,"ARUCR0001","Arkansas Crime Information Center","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-FEB-99,01-JAN-03,01-MAR-15,01-MAR-15,01-MAR-15,01-MAR-15,"N","CALHOUN","Non-MSA","Y","Y","Y"
5342018,534,2018,"AR0080000","AR0080000","","N","N",,"I","CARROLL","CARROLL CO SO BERRYVILLE","Carroll","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","County",17741,23355,"ARUCR0001","Arkansas Crime Information Center","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",17,21,38,3,21,24,0,0,01-FEB-99,01-MAR-03,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","CARROLL","Non-MSA","Y","Y","Y"
5352018,535,2018,"AR0080100","AR0080100","","N","N",,"I","BERRYVILLE","BERRYVILLE PD","Berryville","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",5470,23355,"ARUCR0001","Arkansas Crime Information Center","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",12,0,12,1,2,3,0,0,01-FEB-99,01-NOV-03,01-JAN-15,01-JAN-15,01-JAN-15,01-JAN-15,"N","CARROLL","Non-MSA","Y","Y","Y"
5362018,536,2018,"AR0080200","AR0080200","","N","N",,"I","EUREKA SPRINGS","EUREKA SPRINGS PD","Eureka Springs","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",2073,23355,"ARUCR0001","Arkansas Crime Information Center","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",13,1,14,0,3,3,0,0,01-FEB-99,01-NOV-03,01-JAN-15,01-JAN-15,01-JAN-15,01-JAN-15,"N","CARROLL","Non-MSA","Y","Y","Y"
5372018,537,2018,"AR0080300","AR0080300","","N","N",,"I","GREEN FOREST","GREEN FOREST PD","Green Forest","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",2682,23355,"ARUCR0001","Arkansas Crime Information Center","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",11,1,12,0,1,1,0,0,01-FEB-99,01-DEC-05,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","CARROLL","Non-MSA","Y","Y","Y"
5382018,538,2018,"AR0090000","AR0090000","","N","N",,"I","CHICOT","CHICOT CO SO LAKE VILLAGE","Chicot","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","County",3637,23355,"ARUCR0001","Arkansas Crime Information Center","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",7,0,7,0,1,1,0,0,01-FEB-99,01-SEP-07,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","CHICOT","Non-MSA","Y","Y","Y"
5392018,539,2018,"AR0090100","AR0090100","","N","N",,"I","DERMOTT","DERMOTT PD","Dermott","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",2566,23355,"ARUCR0001","Arkansas Crime Information Center","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",7,1,8,0,5,5,0,0,01-FEB-99,01-JAN-05,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","CHICOT","Non-MSA","Y","Y","Y"
5402018,540,2018,"AR0090200","AR0090200","","N","N",,"I","EUDORA","EUDORA PD","Eudora","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",1970,23355,"ARUCR0001","Arkansas Crime Information Center","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,1,2,3,0,0,01-FEB-99,01-JAN-07,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","CHICOT","Non-MSA","Y","Y","Y"
