"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2017,99352015,113016854
2017,99352041,113016875
2017,99352043,113016875
2017,99352044,113016875
2017,99352041,113016877
2017,99352071,113016909
2017,99352114,113016954
2017,99333020,112997379
2017,99333061,112997426
2017,99333113,112997474
2017,99333122,112997485
2017,99333514,112997864
2017,99333562,112997902
2017,99333580,112997909
2017,99333574,112997909
2017,99333568,112997909
2017,99333571,112997909
2017,99333608,112997918
2017,99333604,112997921
2017,99333608,112997921
2017,99333604,112997918
2017,99333970,112998328
2017,99334272,112998608
2017,99334360,112998676
2017,99334450,112998779
2017,99334778,112999118
2017,99334796,112999128
2017,99334796,112999131
2017,99334798,112999127
2017,99334846,112999187
2017,99334931,112999275
2017,99334991,112999334
2017,99335196,112999537
2017,99335154,112999495
2017,99335238,112999568
2017,99335282,112999624
2017,99335396,112999744
2017,99335431,112999757
2017,99335432,112999760
2017,99335425,112999757
2017,99335470,112999810
2017,99335526,112999862
2017,99335561,112999894
2017,99335600,112999936
2017,99335617,112999951
2017,99335660,112999997
2017,99335794,113000129
2017,99335939,113000258
2017,99335939,113000265
2017,99335971,113000302
2017,99336107,113000432
2017,99336189,113000525
2017,99336432,113000769
2017,99336432,113000766
2017,99336549,113000897
2017,99336679,113001017
2017,99336687,113001017
2017,99336683,113001017
2017,99336827,113001169
2017,99336870,113001190
2017,99336870,113001198
2017,99336971,113001308
2017,99336971,113001311
2017,99337040,113001380
2017,99337068,113001408
2017,99337084,113001425
2017,99337736,113002061
2017,99337918,113002253
2017,99337918,113002264
2017,99337918,113002258
2017,99338273,113002625
2017,99338301,113002658
2017,99339084,113003490
2017,99339275,113003703
2017,99339468,113003904
2017,99339487,113003922
2017,99339610,113004052
2017,99339700,113004138
2017,99339752,113004199
2017,99339858,113004317
2017,99340204,113004652
2017,99340204,113004650
2017,99340333,113004799
2017,99340798,113005259
2017,99341125,113005611
2017,99341227,113005723
2017,99911994,113583538
2017,99914941,113586427
2017,99914994,113586466
2017,99915077,113586564
2017,99915116,113586602
2017,99915275,113586766
2017,99915335,113586829
2017,99915381,113586869
2017,99915386,113586869
2017,99915444,113586933
2017,99915509,113586995
2017,99915525,113587007
2017,99915525,113587009
2017,99915630,113587116
2017,99915652,113587147
2017,99915687,113587175
2017,99915884,113587397
2017,104602685,118302491
2017,104602746,118302565
2017,104602974,118302791
2017,104603107,118302906
2017,104603256,118303075
2017,104603337,118303161
2017,104603372,118303187
2017,104603372,118303189
2017,104603392,118303217
2017,104603413,118303240
2017,104603474,118303300
2017,104603549,118303370
2017,104603549,118303374
2017,104603666,118303501
2017,104603784,118303617
2017,99896598,113568034
2017,99896609,113568049
2017,99896638,113568076
2017,99896664,113568101
2017,99896724,113568170
2017,99896724,113568168
2017,99897078,113568559
2017,99897078,113568561
2017,99897153,113568646
2017,99897210,113568716
2017,99897220,113568718
2017,99897348,113568848
2017,99897335,113568844
2017,99897348,113568844
2017,99897361,113568869
2017,99897361,113568867
2017,99897407,113568907
2017,99897418,113568936
2017,99897474,113568992
2017,99897474,113568991
2017,99897531,113569051
2017,99897587,113569107
2017,99897617,113569142
2017,99897618,113569141
2017,99897617,113569141
2017,99897868,113569433
2017,99898015,113569591
2017,99898204,113569801
2017,99898244,113569847
2017,99898241,113569832
2017,99898271,113569872
2017,99898310,113569906
2017,99898377,113569986
2017,99898395,113570011
2017,99898537,113570162
2017,99898540,113570158
2017,99898540,113570157
2017,99898559,113570174
2017,99898562,113570174
2017,99898628,113570257
2017,99898643,113570272
2017,99898658,113570289
2017,99898670,113570305
2017,99898694,113570330
2017,99898701,113570338
2017,99898762,113570404
2017,99898781,113570428
2017,99898807,113570451
2017,99898812,113570458
2017,99898816,113570461
2017,99898835,113570484
2017,99898848,113570499
2017,99898862,113570510
2017,99898929,113570577
2017,99899108,113570710
2017,99899184,113570785
2017,99899183,113570776
2017,99899342,113570922
2017,99899396,113570983
2017,99899599,113571177
2017,99899606,113571184
2017,99899613,113571181
2017,99899718,113571271
2017,99899706,113571274
2017,99899712,113571271
2017,99899765,113571327
2017,99899775,113571339
2017,99899796,113571359
2017,99899821,113571383
2017,99899843,113571407
2017,99899842,113571404
2017,99899855,113571417
2017,99899873,113571431
2017,99899889,113571455
2017,99899896,113571464
2017,99899917,113571485
2017,99899976,113571547
2017,99900009,113571587
2017,99900046,113571620
2017,99900084,113571664
2017,99900084,113571665
2017,99900096,113571673
2017,99900311,113571881
2017,102106600,115777460
2017,102106832,115777690
2017,102106886,115777750
2017,102106901,115777767
2017,102106961,115777835
2017,102106981,115777850
2017,102106993,115777870
2017,102107047,115777931
2017,102107070,115777949
2017,102107173,115778064
2017,102107527,115778414
2017,102107534,115778414
2017,102107706,115778587
2017,102107696,115778587
2017,102107944,115778851
2017,102108083,115778985
2017,102108127,115779033
2017,102108199,115779106
2017,102108210,115779125
2017,102108281,115779191
2017,102108486,115779412
2017,102108588,115779506
2017,102108746,115779673
2017,102108845,115779756
2017,102108842,115779761
2017,102108875,115779794
2017,102108953,115779866
2017,102108953,115779861
2017,102108963,115779880
2017,102108963,115779878
2017,102108963,115779870
2017,102109006,115779926
2017,102109009,115779926
2017,102109171,115780088
2017,102109425,115780347
2017,102109524,115780440
2017,102109524,115780442
2017,102109738,115780667
2017,102109769,115780708
2017,102109871,115780809
2017,102109990,115780925
2017,102110104,115781046
2017,102111143,115782108
2017,102111474,115782447
2017,102111547,115782507
2017,102111745,115782697
2017,102111751,115782697
2017,102111973,115782945
2017,102111968,115782946
2017,102111973,115782946
2017,102112366,115783322
2017,102112366,115783324
2017,102112403,115783360
2017,102112536,115783492
2017,102112534,115783492
2017,102112535,115783489
2017,102112535,115783492
2017,102112534,115783489
2017,102112587,115783543
2017,102112838,115783791
2017,102113328,115784282
2017,102113549,115784517
2017,102113652,115784621
2017,102113875,115784843
2017,102114278,115785278
2017,102114309,115785285
2017,102114304,115785285
2017,102114364,115785348
2017,102114424,115785415
2017,102114470,115785458
2017,102114495,115785484
2017,102114520,115785509
2017,102114616,115785597
2017,102114630,115785602
2017,102114717,115785700
2017,102114836,115785824
2017,102114899,115785890
2017,102114962,115785957
2017,102115011,115785999
2017,102115084,115786078
2017,102115121,115786100
2017,102115115,115786097
2017,102115115,115786100
2017,102115121,115786097
2017,102115189,115786169
2017,102115271,115786254
2017,102115436,115786413
2017,102115438,115786417
2017,102115436,115786416
2017,102115618,115786597
2017,102116306,115787285
2017,102116398,115787376
2017,102116053,115787051
2017,102116216,115787202
2017,102116565,115787528
2017,102116628,115787587
2017,102116751,115787699
2017,102116795,115787757
2017,102117024,115787977
2017,102117087,115788045
2017,102117172,115788126
2017,102117226,115788186
2017,102117229,115788186
2017,102117485,115788455
2017,102117535,115788505
2017,102117654,115788625
2017,102117722,115788702
2017,102117741,115788719
2017,102117741,115788718
2017,102117755,115788733
2017,102117802,115788782
2017,102117802,115788780
2017,102117894,115788894
2017,102117959,115788962
2017,102117988,115788979
2017,102117988,115788982
2017,102118114,115789105
2017,102118114,115789098
2017,102118170,115789180
2017,102118256,115789244
2017,102118478,115789434
2017,102118571,115789524
2017,102118606,115789554
2017,102118861,115789808
2017,102118892,115789836
2017,102118901,115789836
2017,102118960,115789898
2017,102119742,115790678
2017,102119837,115790768
2017,102120107,115791033
2017,102120257,115791195
2017,102120298,115791232
2017,102120621,115791557
2017,102120711,115791647
2017,102120711,115791643
2017,102120725,115791667
2017,102120756,115791690
2017,102120878,115791818
2017,102121017,115791961
2017,102121276,115792214
2017,102121288,115792229
2017,102121312,115792252
2017,102121353,115792298
2017,102121446,115792382
2017,102121721,115792657
2017,102121851,115792781
2017,102121871,115792802
2017,102121920,115792847
2017,102122005,115792934
2017,102122292,115793234
2017,102122530,115793466
2017,102122589,115793536
2017,102122760,115793718
2017,102122880,115793842
2017,102123086,115794046
2017,102123107,115794062
2017,102123187,115794153
2017,102123289,115794248
2017,102123393,115794347
2017,102123488,115794435
2017,102123537,115794478
2017,102123570,115794518
2017,102123596,115794541
2017,102123610,115794552
2017,102123684,115794629
2017,102123867,115794807
2017,102123948,115794891
2017,102124119,115795033
2017,102124198,115795119
