"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2017,96545991,9,
2017,99379728,6,
2017,99379016,1,
2017,99386283,1,
2017,99378952,10,
2017,99377964,10,
2017,108176579,9,
2017,108082584,9,
2017,103706297,6,
2017,103712692,1,
2017,108028557,2,
2017,108028557,6,
2017,106205661,1,
2017,103710450,1,
2017,105840298,9,
2017,106659636,1,
2017,98510771,1,
2017,98516164,9,
2017,98506144,1,
2017,98507368,1,
2017,98511783,10,
2017,98518320,1,
2017,98836203,9,
2017,98820341,1,
2017,107067419,1,
2017,107468066,1,
2017,99365310,10,
2017,99366198,1,
2017,98506693,1,
2017,98507249,9,
2017,99370768,1,
2017,99371226,1,
2017,99855733,10,
2017,99367410,9,
2017,96330811,1,
2017,98230326,1,
2017,106206567,2,
2017,99374341,1,
2017,103715654,1,
2017,99361269,10,
2017,98836358,1,
2017,98531389,9,
2017,98834524,10,
2017,99378602,1,
2017,99855985,10,
2017,99855326,1,
2017,98248816,9,
2017,97071586,9,
2017,96546300,1,
2017,96546300,9,
2017,99383855,10,
2017,104551388,1,
2017,104547547,9,
2017,103708499,1,
2017,104547914,1,
2017,104551152,1,
2017,103712876,9,
2017,106205403,1,
2017,103707048,1,
2017,106206599,1,
2017,98509048,1,
2017,98836574,1,
2017,98512021,9,
2017,98826244,1,
2017,98512601,9,
2017,98510079,1,
2017,98533860,9,
2017,107063439,1,
2017,98827245,1,
2017,98831616,1,
2017,106656017,1,
2017,107063730,1,
2017,96551371,1,
2017,97069688,1,
2017,96330916,1,
2017,98534186,1,
2017,96318446,1,
2017,108173814,10,
2017,106673915,1,
2017,106671543,9,
2017,107065664,1,
2017,107062428,1,
2017,99363366,10,
2017,99364793,1,
2017,99367609,9,
2017,99368146,1,
2017,99371672,1,
2017,99372150,1,
2017,98518344,1,
2017,99365180,1,
2017,99372802,1,
2017,99374128,1,
2017,99374431,1,
2017,99374455,9,
2017,99375794,1,
2017,99376056,1,
2017,99376231,9,
2017,99376939,1,
2017,99377264,10,
2017,98829800,1,
2017,98513223,1,
2017,98822414,1,
2017,99361010,1,
2017,99371086,9,
2017,98835526,9,
2017,98836842,1,
2017,99855740,10,
2017,99387241,1,
2017,105840482,9,
2017,99856248,1,
2017,106204923,1,
2017,108080428,10,
2017,103711954,6,
2017,107065193,1,
2017,103715861,6,
2017,103707283,9,
2017,103705822,1,
2017,103712530,1,
2017,103711937,10,
2017,103709785,1,
2017,103712006,10,
2017,103712719,1,
2017,104548216,9,
2017,103712584,10,
2017,106206641,10,
2017,103713093,1,
2017,98507090,1,
2017,98510094,10,
2017,98248063,9,
2017,98518183,1,
2017,98518718,9,
2017,98244846,1,
2017,98828611,9,
2017,106656107,10,
2017,109377950,10,
2017,107070386,1,
2017,99855919,9,
2017,96318424,1,
2017,98512346,9,
2017,96546267,8,
2017,96546267,1,
2017,107065519,9,
2017,107066387,1,
2017,99361442,10,
2017,99369463,1,
2017,99371797,1,
2017,98519614,9,
2017,99368189,10,
2017,99368656,10,
2017,99370335,10,
2017,99372166,10,
2017,99374087,9,
2017,99374130,10,
2017,99376368,10,
2017,98821309,9,
2017,106674866,1,
2017,99378354,1,
2017,99382281,10,
2017,99383689,9,
2017,99385361,1,
