"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2016,91864863,83943992,4,,
2016,89422832,84929320,7,,
2016,90472384,85840132,7,,
2016,91255552,85021632,7,,
2016,91254239,84546717,7,,
2016,91254410,87069604,4,,
2016,91254419,87070507,7,,
2016,91254879,85272245,7,,
2016,91254898,85273339,7,,
2016,90032142,84409837,7,,
2016,90032143,87069580,7,,
2016,90032260,87075883,7,,
2016,90032283,82884910,7,,
2016,90032683,85273395,5,,1
2016,90032950,82919047,7,,
2016,90032995,83942860,7,,
2016,91863772,85998361,7,,
2016,91863972,84408799,5,,
2016,91864581,84933400,7,,
2016,91864027,87071543,7,,
2016,91864091,87074816,5,,
2016,91864981,84034785,7,,
2016,91865041,84037909,7,,
2016,91865067,84039863,7,,
2016,91864457,85270021,5,,
2016,90033346,85021669,7,,
2016,91865177,85022592,5,,
2016,93699384,85025428,7,,
2016,93086675,83940654,7,,
2016,90032402,83940732,7,,
2016,90033502,87476035,7,,
2016,90644753,87476110,7,,
2016,91864660,84937376,7,,
2016,93087108,84938263,4,,
2016,89423200,84938377,5,,
2016,92474078,85990197,7,,
2016,93698951,82921129,7,,
2016,93698957,82921296,7,,
2016,92475263,83941741,7,,
2016,89423421,82919679,7,1,
2016,90644318,84030574,4,,
2016,93698238,87073748,7,,
2016,93698267,87075827,7,,
2016,93698342,82886097,4,,
2016,93698519,85264508,7,,
2016,93698588,85267828,7,,
2016,93698694,85274355,7,,
2016,93699309,85841215,7,,
2016,91864911,84029589,7,,
2016,90643627,82889421,5,,
2016,89423342,83941755,7,,
2016,94146932,86470349,1,,
2016,89422991,85271056,6,,
2016,89423064,84931384,5,,
2016,89423107,84934250,4,,
2016,89423144,84935366,7,,
2016,89423436,84030561,7,,
2016,89422134,85991218,6,,
2016,89423596,85840066,4,,
2016,89422420,84550548,7,,
2016,89422450,84551537,7,,
2016,89422491,84407741,5,,1
2016,89423762,82922965,5,,
2016,91863631,85990211,7,,
2016,91863813,84545735,6,,
2016,91863827,84546698,4,,
2016,91863938,84553362,7,,
2016,91864358,84931308,1,,
2016,91864397,85265689,5,,
2016,91864484,85272214,7,,
2016,91864600,84935269,6,,
2016,91864658,84937364,7,,
2016,91864672,84938334,7,,
2016,91864676,84938356,7,,
2016,91865100,84041821,7,0,
2016,91865113,85839084,7,,
2016,91865224,85026447,7,,
2016,91865365,86471321,5,,
2016,91864005,87070579,7,,
2016,91864757,82916846,4,,
2016,91864767,82916899,7,,
2016,91865006,84035859,7,,
2016,93087360,84030521,7,,
2016,93087368,84030609,4,,
2016,89422986,85270081,6,,
2016,90032660,85272299,4,,
2016,91254153,85996289,7,,
2016,91864670,84938292,5,,
2016,92294165,84039805,7,,
2016,90031917,85996434,7,,
2016,90031807,85991312,6,,
2016,90031935,85997402,5,,1
