"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2016,91939521,1,
2016,91934802,1,
2016,91984448,9,
2016,91827663,9,
2016,91863432,1,
2016,91861138,10,
2016,91861926,1,
2016,91991522,1,
2016,91856582,1,
2016,91914832,1,
2016,91962863,1,
2016,91844785,1,
2016,91846309,3,
2016,91850125,1,
2016,91856270,6,
2016,91963143,6,
2016,91959183,10,
2016,91853216,1,
2016,91964745,10,
2016,91851776,1,
2016,91964880,8,
2016,91881243,1,
2016,91878898,1,
2016,91879798,9,
2016,91964995,1,
2016,91819803,1,
2016,91820588,1,
2016,91870314,6,
2016,91890399,1,
2016,91969005,1,
2016,91819911,10,
2016,91890430,9,
2016,91890553,1,
2016,91962827,6,
2016,91820785,1,
2016,91889060,9,
2016,91822404,10,
2016,91823270,1,
2016,91884411,1,
2016,91823354,6,
2016,91937688,9,
2016,91943082,1,
2016,91943083,1,
2016,91941587,1,
2016,91937805,4,
2016,91960742,1,
2016,91881779,10,
2016,91886990,10,
2016,91937912,10,
2016,91940228,9,
2016,91941721,1,
2016,91912888,10,
2016,91993007,1,
2016,91963115,1,
2016,91879793,9,
2016,91932900,9,
2016,91942515,1,
2016,91914042,1,
2016,91966217,1,
2016,91966239,6,
2016,91872647,1,
2016,91939997,1,
2016,91908112,1,
2016,91915614,1,
2016,91983077,1,
2016,91985386,1,
2016,91958370,1,
2016,91887443,10,
2016,91863303,6,
2016,91865607,1,
2016,91941512,1,
2016,91942272,1,
2016,91912177,1,
2016,91912970,1,
2016,91910567,10,
2016,91917708,10,
2016,91917716,1,
2016,91827612,6,
2016,91838004,9,
2016,91857169,1,
2016,91858661,2,
2016,91935344,9,
2016,91933216,6,
2016,91956903,1,
2016,91957959,1,
2016,91958729,1,
2016,91888712,10,
2016,91889504,1,
2016,91887493,10,
2016,91960003,6,
2016,91962731,9,
2016,91860290,1,
2016,91941572,1,
2016,91943927,1,
2016,91941065,1,
2016,91941820,1,
2016,91916134,9,
2016,91916947,10,
2016,91918546,10,
2016,91936135,1,
2016,91966331,1,
2016,91965823,1,
2016,91889548,9,
2016,91890352,1,
2016,91881537,1,
2016,91888358,10,
2016,91889950,9,
2016,91935658,1,
2016,91856510,1,
2016,91940057,1,
2016,91940085,10,
2016,91940842,9,
2016,91938817,1,
2016,91939575,1,
2016,91916981,10,
2016,91958212,3,
2016,91962521,1,
2016,91963250,10,
2016,91962769,1,
2016,91963554,1,
2016,91965896,1,
2016,91880477,10,
2016,91864954,10,
2016,91942389,1,
2016,91908275,1,
2016,91967189,1,
2016,91968733,1,
2016,91870157,6,
2016,91873342,1,
2016,91989280,1,
2016,91963145,1,
2016,91823029,1,
2016,91858044,1,
2016,91861140,9,
2016,91934922,1,
2016,91934945,1,
2016,91913875,10,
2016,91986185,1,
2016,91958945,1,
2016,91958954,10,
2016,91913261,9,
2016,91819914,1,
2016,91966100,6,
2016,91966101,9,
2016,91967680,1,
2016,91956984,1,
2016,91878893,1,
2016,91892025,1,
2016,91887627,10,
2016,91888444,10,
2016,91890037,1,
2016,91890046,1,
2016,91890846,9,
2016,91867370,1,
2016,91939371,9,
2016,91910448,1,
2016,91911237,1,
2016,91956711,1,
2016,91963329,6,
2016,91964885,1,
2016,91885728,9,
2016,91885737,9,
2016,91910799,1,
2016,91913156,9,
2016,91958565,10,
2016,91958095,1,
2016,91940167,1,
2016,91992906,9,
2016,91957491,6,
2016,91882107,1,
2016,91940930,3,
2016,91942458,10,
2016,91986056,1,
2016,91965689,3,
2016,91890561,1,
2016,91937133,6,
2016,91986852,9,
2016,91986194,1,
2016,91958627,1,
2016,91849328,1,
2016,91819749,10,
2016,91853200,1,
2016,91850997,10,
2016,91819841,1,
2016,91830867,9,
2016,91823851,2,
2016,91824602,10,
2016,91825149,10,
2016,91828410,1,
2016,91829198,6,
2016,91821826,1,
2016,91823410,10,
2016,91823445,1,
2016,91831587,1,
2016,91821281,9,
2016,91992982,9,
2016,91964640,1,
2016,91824048,1,
2016,91828142,9,
2016,91826680,1,
2016,91828227,2,
2016,91829798,1,
