agency_id,ori,legacy_ori,agency_name,short_name,agency_type_id,agency_type_name,tribe_id,campus_id,city_id,city_name,state_id,state_abbr,primary_county_id,primary_county,primary_county_fips,agency_status,submitting_agency_id,submitting_sai,submitting_name,submitting_state_abbr,start_year,dormant_year,current_year,revised_rape_start,current_nibrs_start_year,population,population_group_code,population_group_desc,population_source_flag,suburban_area_flag,core_city_flag,months_reported,nibrs_months_reported,past_10_years_reported,covered_by_id,covered_by_ori,covered_by_name,staffing_year,total_officers,total_civilians,icpsr_zip,icpsr_lat,icpsr_lng
2061,CO0540000,CO0540000,Routt County Sheriff's Office,Routt,2,County,,,,,7,CO,309,Routt,08107,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2013,2016,9009,8D,"Non-MSA counties under 10,000",L,N,N,12,12,10,,,,2016,40,9,80477,40.483155,-106.985274
1864,CO0070200,CO0070200,Broomfield Police Department,Broomfield,1,City,,,1043,Broomfield,7,CO,255,Adams,08001,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1962,2002,2016,2014,1999,0,7,"Cities under 2,500",L,Y,N,0,0,0,2113,CO0640100,Broomfield,2001,92,68,80020,39.953382,-105.052125
2050,CO0510000,CO0510000,Pueblo County Sheriff's Office,Pueblo,2,County,,,,,7,CO,306,Pueblo,08101,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2013,2016,54253,9B,"MSA counties from 25,000 thru 99,999",L,Y,N,12,12,10,,,,2016,92,255,81003,38.170658,-104.489892
1916,CO0200100,CO0200100,Elizabeth Police Department,Elizabeth,1,City,,,1079,Elizabeth,7,CO,276,Elbert,08039,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1977,,2016,2013,,1404,7,"Cities under 2,500",L,Y,N,0,0,9,,,,2016,5,1,80107,39.310582,-104.117729
1992,CO0360000,CO0360000,Las Animas County Sheriff's Office,Las Animas,2,County,,,,,7,CO,291,Las Animas,08071,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2013,,5787,8D,"Non-MSA counties under 10,000",L,N,N,6,6,7,,,,2016,13,18,81082,37.318831,-104.04411
2047,CO0500100,CO0500100,Lamar Police Department,Lamar,1,City,,,1132,Lamar,7,CO,305,Prowers,08099,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2013,,7524,6,"Cities from 2,500 thru 9,999",L,N,N,3,3,5,,,,2016,19,14,81052,37.958181,-102.392161
1873,CO0080200,CO0080200,Salida Police Department,Salida,1,City,,,1182,Salida,7,CO,263,Chaffee,08015,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2013,2016,5450,6,"Cities from 2,500 thru 9,999",L,N,N,12,12,10,,,,2016,15,2,81201,38.738244,-106.316955
1944,CO0250000,CO0250000,Grand County Sheriff's Office,Grand,2,County,,,,,7,CO,280,Grand,08049,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2013,,9253,8D,"Non-MSA counties under 10,000",L,N,N,11,11,7,,,,2016,24,27,80451,40.123289,-106.095876
2059,CO0530200,CO0530200,Del Norte Police Department,Del Norte,1,City,,,1066,Del Norte,7,CO,308,Rio Grande,08105,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1978,,2016,2013,,1614,7,"Cities under 2,500",L,N,N,11,11,9,,,,2016,3,1,81132,37.485763,-106.453214
1996,CO0370200,CO0370200,Hugo Police Department,Hugo,1,City,,,1117,Hugo,7,CO,292,Lincoln,08073,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1978,,2016,2014,2016,731,7,"Cities under 2,500",L,N,N,12,12,2,,,,2016,2,0,80821,38.99374,-103.507555
